SolventC_Smiles,SolventD_Smiles,SolventE_Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression£¨200s/1s£©
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,150,0.6,0.32,0.1,0.1,0.2,1.172205438
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,2.869910626
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,160,0.6,0.32,0.1,0.1,0.2,1.119165839
CCCCN,CCO,CC(=O)C,200,0.72,0.24,0.02,0.01,0.01,0.719165085
CCCCN,CCO,CC(=O)C,50,0.72,0.24,0.02,0.01,0.01,0.75711575
CCCCN,CCO,CC(=O)C,100,0.72,0.24,0.02,0.01,0.01,0.746204934
CCCCN,CCO,CC(=O)C,150,0.72,0.24,0.02,0.01,0.01,0.726280835
CC(CO)O,CCN(CC)CC,C(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.320855148
CC(CO)O,CCN(CC)CC,C(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.35017452
CC(CO)O,CCN(CC)CC,C(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.34965096
CC(CO)O,CCN(CC)CC,C(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.328621291
