A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.438
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4363
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4346
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4336
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2937
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3024
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2989
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2937
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2813
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2906
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.125
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2801
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2115
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.1014
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.196
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2195
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.245
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2556
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2329
